genus,specimen_id,coord_id,x,y
WY,14,14,0.0189,0.0479
WY,14,15,-0.0264,0.0211
WY,14,16,0.0566,0.0022
WY,14,17,-0.1423,-0.0397
WY,15,0,-0.4673,0.022
WY,15,1,-0.0277,0.0745
WY,15,2,0.2456,0.0517
WY,15,3,0.2553,0.0369
WY,15,4,0.2618,0.0159
WY,15,5,0.2593,0.0014
WY,15,6,0.2409,-0.0152
WY,15,7,0.1932,-0.0402
WY,15,8,0.1261,-0.0584
WY,15,9,0.0266,-0.0732
WY,15,10,-0.1079,-0.0788
WY,15,11,-0.4005,-0.0119
WY,15,12,-0.3871,0.0193
WY,15,13,-0.1765,0.0251
WY,15,14,0.0456,0.0363
WY,15,15,-0.0333,0.0174
WY,15,16,0.0724,-0.0072
WY,15,17,-0.1266,-0.0156
WY,16,0,-0.4598,0.0418
WY,16,1,0.0208,0.0737
WY,16,2,0.2401,0.0484
WY,16,3,0.2577,0.0265
WY,16,4,0.2626,0.0063
WY,16,5,0.2574,-0.0081
WY,16,6,0.2337,-0.0255
WY,16,7,0.1831,-0.0458
WY,16,8,0.123,-0.0605
WY,16,9,0.0175,-0.0749
WY,16,10,-0.1034,-0.0821
WY,16,11,-0.4151,0.0095
WY,16,12,-0.404,0.0348
WY,16,13,-0.1433,0.0285
WY,16,14,0.0435,0.0364
WY,16,15,-0.0406,0.0177
WY,16,16,0.061,-0.0099
WY,16,17,-0.1344,-0.0169
UR,17,0,-0.469,0.0256
UR,17,1,0.0188,0.0844
UR,17,2,0.2381,0.0519
UR,17,3,0.2517,0.0352
UR,17,4,0.254,0.0131
UR,17,5,0.2459,-0.0122
UR,17,6,0.2249,-0.0331
UR,17,7,0.1799,-0.0516
UR,17,8,0.1157,-0.0621
UR,17,9,0.0257,-0.0784
UR,17,10,-0.1524,-0.0905
UR,17,11,-0.4012,-0.0015
UR,17,12,-0.3796,0.034
UR,17,13,-0.1482,0.0442
UR,17,14,0.1153,0.0437
UR,17,15,-0.0745,0.0274
UR,17,16,0.0942,-0.0158
UR,17,17,-0.1395,-0.0142
UR,18,0,-0.4999,0.0214
UR,18,1,0.0533,0.0868
UR,18,2,0.2081,0.0713
UR,18,3,0.2263,0.0548
UR,18,4,0.2358,0.0361
UR,18,5,0.2391,0.0128
UR,18,6,0.2206,-0.0235
UR,18,7,0.1792,-0.0512
UR,18,8,0.1168,-0.0693
UR,18,9,0.0343,-0.0924
UR,18,10,-0.1419,-0.1106
UR,18,11,-0.4192,-0.0064
UR,18,12,-0.3695,0.0241
UR,18,13,-0.1232,0.041
UR,18,14,0.138,0.0543
UR,18,15,-0.0694,0.0134
UR,18,16,0.0825,-0.0252
UR,18,17,-0.1111,-0.0373
UR,19,0,-0.4668,-0.0044
UR,19,1,-0.0334,0.0689
UR,19,2,0.2229,0.0664
UR,19,3,0.2464,0.0514
UR,19,4,0.2598,0.0307
UR,19,5,0.2588,0.0141
UR,19,6,0.2389,-0.0053
UR,19,7,0.1792,-0.0283
UR,19,8,0.1107,-0.0468
UR,19,9,0.0349,-0.0718
UR,19,10,-0.1502,-0.0893
UR,19,11,-0.3964,-0.0316
UR,19,12,-0.3764,0.0077
UR,19,13,-0.1537,0.0238
UR,19,14,0.1411,0.0493
UR,19,15,-0.0807,0.0116
UR,19,16,0.0985,-0.0159
UR,19,17,-0.1336,-0.0306
UR,20,0,-0.4873,0.0122
UR,20,1,-0.0175,0.0784
UR,20,2,0.2357,0.0725
UR,20,3,0.2514,0.0514
UR,20,4,0.2567,0.0255
UR,20,5,0.2527,0.0058
UR,20,6,0.2371,-0.0142
UR,20,7,0.1959,-0.0388
UR,20,8,0.1245,-0.0612
UR,20,9,0.0397,-0.0783
UR,20,10,-0.1466,-0.1012
UR,20,11,-0.4242,-0.0296
UR,20,12,-0.3325,0.0165
UR,20,13,-0.1271,0.0308
UR,20,14,0.084,0.0459
UR,20,15,-0.0807,0.0177
UR,20,16,0.06,-0.0103
UR,20,17,-0.1219,-0.023
CA,21,0,-0.4829,0.03
CA,21,1,0.0117,0.0938
CA,21,2,0.2398,0.0578
CA,21,3,0.2544,0.0325
CA,21,4,0.2518,0.0092
CA,21,5,0.2446,-0.0074
CA,21,6,0.2271,-0.0243
CA,21,7,0.1758,-0.0524
CA,21,8,0.1062,-0.0728
CA,21,9,0.0065,-0.0876
CA,21,10,-0.0936,-0.0955
CA,21,11,-0.4021,0.009
CA,21,12,-0.3899,0.0343
CA,21,13,-0.1648,0.0403
CA,21,14,0.0951,0.0433
CA,21,15,-0.021,0.0206
CA,21,16,0.0735,-0.0094
CA,21,17,-0.1321,-0.0214
CA,22,0,-0.4683,0.0225
CA,22,1,0.0446,0.0866
CA,22,2,0.2237,0.0673
CA,22,3,0.2486,0.0447
CA,22,4,0.2543,0.0291
CA,22,5,0.2566,0.0081
CA,22,6,0.235,-0.0205
CA,22,7,0.1694,-0.047
CA,22,8,0.1025,-0.0648
CA,22,9,0.0227,-0.0858
CA,22,10,-0.09,-0.0984
CA,22,11,-0.4127,-0.0165
CA,22,12,-0.3935,0.0185
CA,22,13,-0.1948,0.0288
CA,22,14,0.0637,0.0464
CA,22,15,-0.0261,0.0189
CA,22,16,0.0842,-0.0124
CA,22,17,-0.1198,-0.0254
CA,23,0,-0.4625,0.0195
CA,23,1,0.0534,0.0874
CA,23,2,0.2472,0.0558
CA,23,3,0.2595,0.0425
CA,23,4,0.2608,0.0208
CA,23,5,0.2517,0.0033
CA,23,6,0.2317,-0.0116
CA,23,7,0.1701,-0.0391
CA,23,8,0.1081,-0.059
CA,23,9,0.0151,-0.0825
CA,23,10,-0.0976,-0.0988
CA,23,11,-0.4123,-0.0236
CA,23,12,-0.398,0.0148
CA,23,13,-0.1728,0.0274
CA,23,14,0.048,0.0493
CA,23,15,-0.0277,0.0244
CA,23,16,0.0489,-0.0032
CA,23,17,-0.1236,-0.0275
CA,24,0,-0.4473,0.0502
CA,24,1,-0.0237,0.0884
CA,24,2,0.2454,0.0522
CA,24,3,0.2706,0.0277
CA,24,4,0.2719,0.0059
CA,24,5,0.2623,-0.0133
CA,24,6,0.2396,-0.0313
CA,24,7,0.1828,-0.0538
CA,24,8,0.1047,-0.0703
CA,24,9,0.0191,-0.0914
CA,24,10,-0.0813,-0.1033
CA,24,11,-0.394,0.0049
CA,24,12,-0.3814,0.0464
CA,24,13,-0.2018,0.0488
CA,24,14,0.0482,0.0441
CA,24,15,-0.0358,0.0232
CA,24,16,0.0524,-0.0112
CA,24,17,-0.1317,-0.0173
CA,25,0,-0.4681,0.0445
CA,25,1,0.0566,0.0841
CA,25,2,0.2515,0.0503
CA,25,3,0.2635,0.0318
CA,25,4,0.2617,0.0109
CA,25,5,0.2493,-0.0113
CA,25,6,0.2229,-0.0326
CA,25,7,0.1654,-0.0584
CA,25,8,0.105,-0.0713
CA,25,9,0.0084,-0.0877
CA,25,10,-0.1085,-0.0962
CA,25,11,-0.4064,0.0035
CA,25,12,-0.385,0.0391
CA,25,13,-0.1688,0.0396
CA,25,14,0.0717,0.0458
CA,25,15,-0.0227,0.0245
CA,25,16,0.0439,-0.0054
CA,25,17,-0.1404,-0.0113
CA,26,0,-0.4654,0.0045
CA,26,1,-0.0237,0.0591
CA,26,2,0.2298,0.0652
CA,26,3,0.2506,0.0472
CA,26,4,0.2565,0.0359
CA,26,5,0.2547,0.0191
CA,26,6,0.2406,0.0016
CA,26,7,0.1958,-0.024
CA,26,8,0.1348,-0.0499
CA,26,9,0.0377,-0.0837
CA,26,10,-0.0598,-0.1028
CA,26,11,-0.4078,-0.0288
CA,26,12,-0.3939,0.0037
CA,26,13,-0.1667,0.0187
CA,26,14,0.0639,0.0422
CA,26,15,-0.0479,0.0175
CA,26,16,0.0514,0.0013
CA,26,17,-0.1504,-0.0267
CA,27,0,-0.4544,0.0221
CA,27,1,-0.0074,0.0855
CA,27,2,0.236,0.0679
CA,27,3,0.2578,0.05
CA,27,4,0.2686,0.0258
CA,27,5,0.2677,0.0018
CA,27,6,0.2525,-0.0206
CA,27,7,0.2016,-0.0483
CA,27,8,0.101,-0.0702
CA,27,9,0.027,-0.0886
CA,27,10,-0.0571,-0.0967
CA,27,11,-0.3962,-0.0166
CA,27,12,-0.3685,0.0227
CA,27,13,-0.183,0.0288
CA,27,14,0.0186,0.0402
CA,27,15,-0.0344,0.0185
CA,27,16,0.0542,-0.0106
CA,27,17,-0.184,-0.012
OR,28,0,-0.4653,-0.0153
OR,28,1,-0.053,0.0713
OR,28,2,0.1996,0.0886
OR,28,3,0.2548,0.0643
OR,28,4,0.2654,0.0462
OR,28,5,0.2632,0.0168
OR,28,6,0.2399,-0.0084
OR,28,7,0.1881,-0.0358
OR,28,8,0.1297,-0.0542
OR,28,9,0.0436,-0.0796
OR,28,10,-0.0329,-0.0978
OR,28,11,-0.4176,-0.0393
OR,28,12,-0.3934,-0.0092
OR,28,13,-0.1727,0.0196
OR,28,14,0.0655,0.049
OR,28,15,-0.0419,0.0247
OR,28,16,0.0323,-0.0041
OR,28,17,-0.1054,-0.0366
MA,29,0,-0.4624,0.0319
MA,29,1,0.0361,0.0848
MA,29,2,0.2647,0.0476
MA,29,3,0.2711,0.0332
MA,29,4,0.2686,0.0142
MA,29,5,0.2536,-0.0028
MA,29,6,0.2181,-0.0254
MA,29,7,0.1662,-0.0468
MA,29,8,0.1179,-0.0599
MA,29,9,0.0245,-0.0808
MA,29,10,-0.0732,-0.0968
MA,29,11,-0.3969,-0.0034
MA,29,12,-0.387,0.0305
MA,29,13,-0.1745,0.031
MA,29,14,0.0578,0.0444
MA,29,15,-0.0471,0.0241
MA,29,16,0.0261,-0.003
MA,29,17,-0.1635,-0.0226
MA,30,0,-0.474,0.022
MA,30,1,0.0024,0.0831
MA,30,2,0.2327,0.0713
MA,30,3,0.2492,0.0529
MA,30,4,0.2556,0.0308
MA,30,5,0.2491,0.0089
MA,30,6,0.2318,-0.0089
MA,30,7,0.1827,-0.0386
MA,30,8,0.1087,-0.0608
MA,30,9,0.0389,-0.0882
MA,30,10,-0.0529,-0.1136
MA,30,11,-0.4112,-0.0271
MA,30,12,-0.398,0.0168
MA,30,13,-0.1748,0.0275
MA,30,14,0.0599,0.0415
MA,30,15,-0.0157,0.0171
MA,30,16,0.048,-0.0105
MA,30,17,-0.1324,-0.0244
MA,31,0,-0.4831,-0.0136
MA,31,1,0.0024,0.0861
MA,31,2,0.2431,0.0843
MA,31,3,0.2554,0.0625
MA,31,4,0.254,0.0326
MA,31,5,0.2405,0.0126
MA,31,6,0.2165,-0.0073
MA,31,7,0.1757,-0.0319
MA,31,8,0.1188,-0.0525
MA,31,9,0.042,-0.0831
MA,31,10,-0.0576,-0.1092
MA,31,11,-0.4031,-0.0419
MA,31,12,-0.3856,-0.0059
MA,31,13,-0.1916,0.0145
MA,31,14,0.0674,0.0531
MA,31,15,-0.0285,0.0259
MA,31,16,0.0642,-0.0014
MA,31,17,-0.1304,-0.0246
PS,32,0,-0.4955,0.0422
PS,32,1,0.0429,0.0871
PS,32,2,0.2268,0.0616
PS,32,3,0.2411,0.0429
PS,32,4,0.2455,0.0159
PS,32,5,0.2386,-0.0002
PS,32,6,0.2212,-0.0235
PS,32,7,0.1736,-0.0527
PS,32,8,0.1042,-0.0675
PS,32,9,0.0273,-0.089
PS,32,10,-0.0741,-0.1126
PS,32,11,-0.4098,0.0008
PS,32,12,-0.4,0.0326
PS,32,13,-0.1689,0.0341
PS,32,14,0.0781,0.0438
PS,32,15,-0.0248,0.0224
PS,32,16,0.079,-0.0106
PS,32,17,-0.1054,-0.0273
PS,33,0,-0.487,-0.0111
PS,33,1,0.0401,0.0939
PS,33,2,0.2165,0.0943
PS,33,3,0.2332,0.0825
PS,33,4,0.2471,0.0502
PS,33,5,0.2408,0.0188
PS,33,6,0.2241,-0.0047
PS,33,7,0.1764,-0.0367
PS,33,8,0.1146,-0.0632
PS,33,9,0.005,-0.0961
PS,33,10,-0.0748,-0.1175
PS,33,11,-0.4034,-0.0539
PS,33,12,-0.4011,-0.0029
PS,33,13,-0.1615,0.018
PS,33,14,0.0824,0.0556
PS,33,15,-0.0144,0.0217
PS,33,16,0.0784,-0.0062
PS,33,17,-0.1164,-0.0428
PS,34,0,-0.4862,0.0842
PS,34,1,0.026,0.0865
PS,34,2,0.237,0.0326
PS,34,3,0.2426,0.0203
PS,34,4,0.2407,0.0011
PS,34,5,0.2355,-0.0171
PS,34,6,0.2093,-0.0424
PS,34,7,0.1746,-0.0611
PS,34,8,0.1018,-0.0804
PS,34,9,0.0167,-0.092
PS,34,10,-0.0894,-0.1024
PS,34,11,-0.4233,0.0207
PS,34,12,-0.3944,0.0698
PS,34,13,-0.1543,0.0526
PS,34,14,0.0847,0.0385
PS,34,15,0.004,0.0209
PS,34,16,0.0815,-0.0175
PS,34,17,-0.1069,-0.0145
PS,35,0,-0.4698,0.0229
PS,35,1,0.0008,0.0769
PS,35,2,0.2413,0.0565
PS,35,3,0.2534,0.0372
PS,35,4,0.2562,0.0211
PS,35,5,0.253,0.0045
PS,35,6,0.2392,-0.015
PS,35,7,0.1969,-0.038
PS,35,8,0.1006,-0.0591
PS,35,9,0.0087,-0.0818
PS,35,10,-0.0851,-0.098
PS,35,11,-0.4069,-0.0163
PS,35,12,-0.3909,0.0199
PS,35,13,-0.1716,0.0275
PS,35,14,0.0642,0.0463
PS,35,15,-0.0269,0.0213
PS,35,16,0.0729,-0.009
PS,35,17,-0.136,-0.0167
PS,36,0,-0.4781,0.0434
PS,36,1,0.0151,0.0861
PS,36,2,0.2315,0.0588
PS,36,3,0.2497,0.034
PS,36,4,0.2522,0.0097
PS,36,5,0.2468,-0.0098
PS,36,6,0.2262,-0.0268
PS,36,7,0.171,-0.0504
PS,36,8,0.1161,-0.0662
PS,36,9,0.0229,-0.0872
PS,36,10,-0.0725,-0.0919
PS,36,11,-0.4162,-0.0013
PS,36,12,-0.3934,0.0423
PS,36,13,-0.1805,0.0383
PS,36,14,0.0727,0.0398
PS,36,15,-0.0165,0.0185
PS,36,16,0.077,-0.0152
PS,36,17,-0.1238,-0.022
PS,37,0,-0.4831,0.0333
PS,37,1,0.0053,0.0903
PS,37,2,0.2195,0.0586
PS,37,3,0.2431,0.0411
PS,37,4,0.2528,0.013
PS,37,5,0.2449,-0.0048
PS,37,6,0.2233,-0.0224
PS,37,7,0.1825,-0.0408
PS,37,8,0.1059,-0.067
PS,37,9,0.035,-0.0854
PS,37,10,-0.0632,-0.1019
PS,37,11,-0.4102,-0.0103
PS,37,12,-0.4019,0.0322
PS,37,13,-0.1665,0.0331
PS,37,14,0.075,0.039
PS,37,15,-0.0117,0.0188
PS,37,16,0.0926,-0.0086
PS,37,17,-0.1432,-0.0182
PS,38,0,-0.4868,0.0376
PS,38,1,0.0145,0.0744
PS,38,2,0.2315,0.0576
PS,38,3,0.2463,0.039
PS,38,4,0.2527,0.0143
PS,38,5,0.2466,0.0
PS,38,6,0.2285,-0.0178
PS,38,7,0.1868,-0.0382
PS,38,8,0.12,-0.0602
PS,38,9,0.014,-0.0828
PS,38,10,-0.096,-0.0979
PS,38,11,-0.4053,-0.0083
PS,38,12,-0.3932,0.0282
PS,38,13,-0.153,0.0252
PS,38,14,0.0769,0.0365
PS,38,15,-0.0236,0.0192
PS,38,16,0.0819,-0.0094
PS,38,17,-0.1417,-0.0175
PS,39,0,-0.4681,0.0267
PS,39,1,0.0193,0.0801
PS,39,2,0.2274,0.0661
PS,39,3,0.2402,0.0517
PS,39,4,0.249,0.03
PS,39,5,0.2487,0.0093
PS,39,6,0.2388,-0.0078
PS,39,7,0.1901,-0.0408
PS,39,8,0.1154,-0.0649
PS,39,9,0.0358,-0.093
PS,39,10,-0.0922,-0.1143
PS,39,11,-0.4119,-0.0207
PS,39,12,-0.3901,0.0205
PS,39,13,-0.1749,0.028
PS,39,14,0.0685,0.0439
PS,39,15,-0.0261,0.0209
PS,39,16,0.0726,-0.0088
PS,39,17,-0.1425,-0.0269
PS,40,0,-0.4708,0.0327
PS,40,1,0.0546,0.0803
PS,40,2,0.2318,0.0604
PS,40,3,0.2454,0.0473
PS,40,4,0.2528,0.0247
PS,40,5,0.2488,0.0056
PS,40,6,0.2253,-0.016
PS,40,7,0.181,-0.04
PS,40,8,0.1072,-0.0659
PS,40,9,0.0325,-0.0918
PS,40,10,-0.0733,-0.1075
PS,40,11,-0.4125,-0.0175
PS,40,12,-0.3964,0.0257
PS,40,13,-0.1769,0.0264
PS,40,14,0.0782,0.0456
PS,40,15,-0.032,0.0199
PS,40,16,0.0493,-0.0081
PS,40,17,-0.145,-0.0218
PS,41,0,-0.4681,0.0007
PS,41,1,-0.0003,0.0884
PS,41,2,0.212,0.0925
PS,41,3,0.2365,0.0755
PS,41,4,0.253,0.0482
PS,41,5,0.2547,0.029
PS,41,6,0.2428,0.0031
PS,41,7,0.2044,-0.026
PS,41,8,0.1192,-0.0625
PS,41,9,0.0515,-0.0936
PS,41,10,-0.0682,-0.1217
PS,41,11,-0.397,-0.0443
PS,41,12,-0.3857,0.0009
PS,41,13,-0.1914,0.0123
PS,41,14,0.0543,0.0404
PS,41,15,-0.0266,0.0088
PS,41,16,0.0521,-0.0126
PS,41,17,-0.1431,-0.0391
PS,42,0,-0.4716,0.0113
PS,42,1,-0.0361,0.0801
PS,42,2,0.2011,0.0886
PS,42,3,0.2403,0.059
PS,42,4,0.2478,0.035
PS,42,5,0.2418,0.016
PS,42,6,0.2306,-0.0017
PS,42,7,0.1874,-0.0304
PS,42,8,0.1155,-0.0642
PS,42,9,0.0496,-0.0922
PS,42,10,-0.043,-0.1309
PS,42,11,-0.4147,-0.0391
PS,42,12,-0.3963,0.0063
PS,42,13,-0.1871,0.0211
PS,42,14,0.0941,0.0519
PS,42,15,-0.0092,0.0184
PS,42,16,0.0798,0.0003
PS,42,17,-0.13,-0.0296
PS,43,0,-0.465,0.0189
PS,43,1,0.0777,0.0958
PS,43,2,0.2329,0.0615
PS,43,3,0.2406,0.05
PS,43,4,0.2516,0.0248
PS,43,5,0.2474,0.0028
PS,43,6,0.2232,-0.0239
PS,43,7,0.1751,-0.0467
PS,43,8,0.0905,-0.067
PS,43,9,0.0085,-0.0866
PS,43,10,-0.091,-0.1106
PS,43,11,-0.4048,-0.0239
PS,43,12,-0.3877,0.0175
PS,43,13,-0.2037,0.0338
PS,43,14,0.0961,0.0522
PS,43,15,-0.0197,0.0285
PS,43,16,0.0797,-0.007
PS,43,17,-0.1514,-0.0198
AE,44,0,-0.4725,0.0516
AE,44,1,-0.0143,0.0813
AE,44,2,0.2422,0.0488
AE,44,3,0.2507,0.0382
AE,44,4,0.2559,0.0186
AE,44,5,0.2537,-0.0002
AE,44,6,0.2367,-0.0236
AE,44,7,0.1749,-0.0518
AE,44,8,0.1033,-0.0718
AE,44,9,0.0238,-0.0987
AE,44,10,-0.0727,-0.1095
AE,44,11,-0.4,0.0036
AE,44,12,-0.3912,0.0449
AE,44,13,-0.1666,0.0384
AE,44,14,0.0829,0.042
AE,44,15,-0.0183,0.0225
